# Twin BBN prediction of the primordial Helium abundance $Y_p$ as
# function of the twin vev ratio and number of extra
# radiation degrees of freedom $\Delta N = N_eff-3.046$. Impact of
# chemical potential of electron neutrinos neglected in this version.
#
# Extracted as a fit to
#
# Format:
# First line must contain (num_ratios,num_DeltaN), other lines must
# contain (ratio,DeltaN,YHe_twin) blank lines and lines starting with #
# neglected

73	105
13.20	0.0700	0.74182
13.40	0.0700	0.74293
13.60	0.0700	0.74403
13.80	0.0700	0.74510
14.00	0.0700	0.74616
14.20	0.0700	0.74720
14.40	0.0700	0.74822
14.60	0.0700	0.74923
14.80	0.0700	0.75022
15.00	0.0700	0.75120
0.6000	0.0800	0.75373
0.8000	0.0800	0.66579
1.000	0.0800	0.62925
1.200	0.0800	0.61298
1.400	0.0800	0.60614
1.600	0.0800	0.60415
1.800	0.0800	0.60481
2.000	0.0800	0.60697
2.200	0.0800	0.61001
2.400	0.0800	0.61353
2.600	0.0800	0.61733
2.800	0.0800	0.62124
3.000	0.0800	0.62520
3.200	0.0800	0.62913
3.400	0.0800	0.63301
3.600	0.0800	0.63681
3.800	0.0800	0.64052
4.000	0.0800	0.64412
4.200	0.0800	0.64763
4.400	0.0800	0.65103
4.600	0.0800	0.65432
4.800	0.0800	0.65751
5.000	0.0800	0.66061
5.200	0.0800	0.66361
5.400	0.0800	0.66651
5.600	0.0800	0.66933
5.800	0.0800	0.67206
6.000	0.0800	0.67471
6.200	0.0800	0.67728
6.400	0.0800	0.67978
6.600	0.0800	0.68220
6.800	0.0800	0.68456
7.000	0.0800	0.68685
7.200	0.0800	0.68907
7.400	0.0800	0.69124
7.600	0.0800	0.69335
7.800	0.0800	0.69541
8.000	0.0800	0.69741
8.200	0.0800	0.69936
8.400	0.0800	0.70126
8.600	0.0800	0.70312
8.800	0.0800	0.70493
9.000	0.0800	0.70670
9.200	0.0800	0.70843
9.400	0.0800	0.71012
9.600	0.0800	0.71177
9.800	0.0800	0.71338
10.00	0.0800	0.71496
10.20	0.0800	0.71650
10.40	0.0800	0.71801
10.60	0.0800	0.71949
10.80	0.0800	0.72094
11.00	0.0800	0.72236
11.20	0.0800	0.72376
11.40	0.0800	0.72512
11.60	0.0800	0.72646
11.80	0.0800	0.72777
12.00	0.0800	0.72906
12.20	0.0800	0.73032
12.40	0.0800	0.73156
12.60	0.0800	0.73278
12.80	0.0800	0.73397
13.00	0.0800	0.73515
13.20	0.0800	0.73630
13.40	0.0800	0.73744
13.60	0.0800	0.73855
13.80	0.0800	0.73965
